City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Jibuti,DJ,11.5,42.5,78.8,65,20,15.37,few clouds
318,Zlitan,LY,32.47,14.57,69.31,63,7,5.48,clear sky
319,Belmonte,BR,-15.86,-38.88,71.6,88,90,2.24,overcast clouds
320,Shache,CN,38.42,77.24,29.89,88,0,1.45,clear sky
321,Andujar,ES,38.04,-4.05,62.01,62,83,9.31,broken clouds
322,Agadez,NE,19.75,10.25,70.0,23,4,8.72,clear sky
323,Tual,ID,-5.67,132.75,82.35,79,36,10.96,scattered clouds
324,Tawau,MY,4.25,117.89,75.2,94,20,3.94,few clouds
325,Tommot,RU,58.96,126.29,8.06,92,82,2.28,broken clouds
326,Koutsouras,GR,35.03,25.95,64.0,73,27,23.0,scattered clouds
327,Arman,RU,59.7,150.17,1.44,84,64,10.38,broken clouds
328,Matara,LK,5.95,80.54,77.09,87,98,5.37,light rain
329,Erenhot,CN,43.65,111.98,34.74,65,0,20.45,clear sky
330,Lasa,IT,46.62,10.7,51.01,100,5,4.7,clear sky
331,Gedo,ET,9.02,37.45,50.31,76,0,2.17,clear sky
332,Esterhazy,CA,50.65,-102.08,68.0,30,94,18.34,overcast clouds
333,Leshukonskoye,RU,64.9,45.76,37.76,95,100,9.19,light rain
334,Tonantins,BR,-2.87,-67.8,83.34,78,64,2.82,light rain
335,Leningradskiy,RU,69.38,178.42,32.07,98,100,19.35,overcast clouds
336,Tezu,IN,27.92,96.17,64.99,51,0,3.51,clear sky
337,Egvekinot,RU,66.32,-179.17,31.08,100,100,9.69,overcast clouds
338,Gejiu,CN,23.31,103.16,52.25,100,90,2.26,overcast clouds
339,Zeya,RU,53.75,127.27,16.3,96,80,1.86,broken clouds
340,Shingu,JP,33.73,135.98,52.34,60,26,4.97,scattered clouds
341,Sikonge,TZ,-5.63,32.77,77.0,83,40,4.72,scattered clouds
342,Ponta Do Sol,PT,32.67,-17.1,59.0,67,20,4.7,few clouds
343,Outjo,NA,-20.12,16.15,69.19,32,0,10.47,clear sky
344,Carutapera,BR,-1.2,-46.02,80.42,76,100,7.9,overcast clouds
345,Chumikan,RU,54.72,135.31,15.51,94,14,20.31,few clouds
346,Sungaipenuh,ID,-2.08,101.38,65.1,93,100,1.68,light rain
347,Tulum,MX,20.22,-87.47,80.6,88,75,9.17,broken clouds
348,Doksy,CZ,50.56,14.66,37.99,88,0,1.72,clear sky
349,Caucaia,BR,-3.74,-38.65,81.0,78,40,9.17,scattered clouds
350,Khandyga,RU,62.67,135.6,-3.19,92,100,1.7,overcast clouds
351,Indianola,US,41.36,-93.56,73.0,43,20,2.1,few clouds
352,Broken Hill,AU,-31.95,141.43,51.8,62,100,12.75,overcast clouds
353,San Patricio,US,28.02,-97.52,80.6,54,20,16.11,few clouds
354,Lerwick,GB,60.15,-1.15,51.8,76,100,32.21,overcast clouds
355,Alofi,NU,-19.06,-169.92,77.0,73,75,17.22,broken clouds
356,Bada,RU,51.39,109.87,22.23,91,100,7.23,overcast clouds
357,Mizan Teferi,ET,6.98,35.58,62.56,87,0,2.26,clear sky
358,Birjand,IR,32.87,59.22,44.6,16,0,6.93,clear sky
359,Qingdao,CN,36.1,120.37,57.99,87,0,2.24,clear sky
360,Turinsk,RU,58.05,63.7,35.38,90,99,9.51,overcast clouds
361,Beian,NO,63.66,9.57,50.0,100,75,26.4,light rain
