City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
565,Manokwari,ID,81.0,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
567,Cabo San Lucas,MX,86.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
570,Banda Aceh,ID,78.82,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
571,San Andres,CO,84.2,broken clouds,12.58,-81.7,Hotel Arena Blanca
572,Ruidoso,US,72.0,clear sky,33.33,-105.67,Inn of the Mountain Gods
576,Morada Nova,BR,81.07,broken clouds,-5.11,-38.37,PIZZARIA MARIANA
579,Campana,AR,71.01,clear sky,-34.17,-58.96,Hotel Morada Suites
581,Beruwala,LK,77.97,broken clouds,6.48,79.98,The Palms Hotel
582,Esmeraldas,BR,78.8,clear sky,-19.76,-44.31,Hotel Fazenda Lagoa Azul
585,Tiarei,PF,78.8,shower rain,-17.53,-149.33,Le Rocher de Tahiti
586,Bontang,ID,77.85,light rain,0.13,117.5,Okra Leaf Guest House Syariah
587,Luwuk,ID,78.98,light rain,-0.95,122.79,Hotel Santika Luwuk
590,Mlonggo,ID,78.51,overcast clouds,-6.53,110.7,Asia Metal Art
592,Savannah Bight,HN,81.55,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
594,San Pedro,PH,78.8,broken clouds,14.35,121.02,OYO 412 Viewfort Venue
595,Dakar,SN,82.4,few clouds,14.69,-17.44,Novotel Dakar
596,Praxedis Guerrero,MX,84.2,clear sky,31.37,-106.02,Congregación placitas de Otero
597,Chokwe,MZ,75.96,light rain,-24.53,32.98,Complexo Sonho Real
600,Amahai,ID,84.0,moderate rain,-3.33,128.92,Peternakan Ayam Bangkok Manisso
603,Baculin,PH,78.51,broken clouds,7.45,126.58,Shovy's Cove
608,Grand Gaube,MU,70.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
610,Point Fortin,TT,82.0,light rain,10.18,-61.68,Apartment Point Fortin
611,Roebourne,AU,77.22,light rain,-20.78,117.13,Harding River Caravan Park
616,Harper,LR,79.0,clear sky,4.38,-7.72,Screensaver
619,Misratah,LY,70.03,clear sky,32.38,15.09,فندق الماسة
623,Concordia,AR,77.0,few clouds,-31.39,-58.02,Palmar Hotel Casino
625,Pointe Michel,DM,75.2,broken clouds,15.25,-61.38,Castle Comfort Lodge Dive Dominica
631,Pierre,US,78.8,clear sky,44.37,-100.35,Ramkota Hotel
635,Onalaska,US,71.6,clear sky,43.88,-91.24,Stoney Creek Hotel & Conference Center
636,Bima,ID,77.14,scattered clouds,-8.47,118.72,Lambitu Hotel
637,Labuhan,ID,78.98,overcast clouds,-6.88,112.21,bador sepret
644,Makakilo City,US,86.0,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
645,Rafaela,AR,77.0,clear sky,-31.25,-61.49,Parra Hotel & Suites
646,Humaita,BR,86.22,overcast clouds,-7.51,-63.02,Corrêa Hotel
651,Nova Olimpia,BR,83.68,clear sky,-14.8,-57.29,Motel glamour
655,Sao Geraldo Do Araguaia,BR,82.98,moderate rain,-6.4,-48.55,Hotel Por do Sol
658,Male,MV,82.4,few clouds,4.17,73.51,Hotel Octave Maldives
660,Mancio Lima,BR,91.4,few clouds,-7.61,-72.9,Hotel e Distribuidora Voyage
662,Bhola,BD,70.72,clear sky,22.68,90.65,Hotel Asia
663,Maiduguri,NG,77.34,scattered clouds,11.85,13.16,College of Nursing & Midwifery Female's Hostel
664,Seminole,US,78.8,few clouds,28.71,-81.21,Ono Hot Dog Cart and Catering
670,Zabid,YE,79.74,clear sky,14.2,43.32,دار الضيافة
672,Sibolga,ID,76.86,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
676,Tarrafal,CV,77.0,scattered clouds,15.28,-23.77,Hotel Ixola
